Negara,Status,Tahun,AHH,CO2,Region
Malaysia,Berkembang,2014,75.1,243.1,Asia Pasifik
Malaysia,Berkembang,2015,75,247.1,Asia Pasifik
Malaysia,Berkembang,2016,75,252.6,Asia Pasifik
Malaysia,Berkembang,2017,75.1,241.2,Asia Pasifik
Malaysia,Berkembang,2018,75.2,251.1,Asia Pasifik
Malaysia,Berkembang,2019,75,256.9,Asia Pasifik
Malaysia,Berkembang,2020,75.1,240.6,Asia Pasifik
Malaysia,Berkembang,2021,75.3,238.6,Asia Pasifik
Selandia Baru,Maju,2010,80.9,34.4,Asia Pasifik
Selandia Baru,Maju,2011,80.9,34.4,Asia Pasifik
Selandia Baru,Maju,2012,81.2,36.0,Asia Pasifik
Selandia Baru,Maju,2013,81.5,35.6,Asia Pasifik
Selandia Baru,Maju,2014,81.5,35.6,Asia Pasifik
Selandia Baru,Maju,2015,81.7,36.2,Asia Pasifik
Selandia Baru,Maju,2016,81.9,35.5,Asia Pasifik
Selandia Baru,Maju,2017,82,37.6,Asia Pasifik
Selandia Baru,Maju,2018,81.8,37.4,Asia Pasifik
Selandia Baru,Maju,2019,81.8,38.5,Asia Pasifik
Selandia Baru,Maju,2020,81.8,33.4,Asia Pasifik
Selandia Baru,Maju,2021,82.1,32.7,Asia Pasifik
India,Berkembang,2010,67.3,1648.3,Asia Pasifik
India,Berkembang,2011,67.6,1728.4,Asia Pasifik
India,Berkembang,2012,68,1861.4,Asia Pasifik
India,Berkembang,2013,68.4,1934.0,Asia Pasifik
India,Berkembang,2014,69,2090.7,Asia Pasifik
India,Berkembang,2015,69.4,2146.5,Asia Pasifik
India,Berkembang,2016,70,2241.5,Asia Pasifik
India,Berkembang,2017,70.3,2320.2,Asia Pasifik
India,Berkembang,2018,70.5,2442.6,Asia Pasifik
India,Berkembang,2019,70.8,2465.8,Asia Pasifik
India,Berkembang,2020,70.8,2281.2,Asia Pasifik
India,Berkembang,2021,71.2,2552.8,Asia Pasifik
Azerbaijan,Berkembang,2010,69,24.9,CIS
Azerbaijan,Berkembang,2011,69.2,28.6,CIS
Azerbaijan,Berkembang,2012,69.5,29.6,CIS
Azerbaijan,Berkembang,2013,69.7,30.3,CIS
Azerbaijan,Berkembang,2014,69.9,31.0,CIS
Azerbaijan,Berkembang,2015,70.2,33.6,CIS
Azerbaijan,Berkembang,2016,70.3,33.1,CIS
Azerbaijan,Berkembang,2017,70.4,32.0,CIS
Azerbaijan,Berkembang,2018,70.8,33.5,CIS
Azerbaijan,Berkembang,2019,71,34.4,CIS
Azerbaijan,Berkembang,2020,70.4,33.7,CIS
Azerbaijan,Berkembang,2021,71.2,35.3,CIS
Belarus,Berkembang,2010,70.6,62.4,CIS
Belarus,Berkembang,2011,70.5,59.3,CIS
Belarus,Berkembang,2012,72.3,60.8,CIS
Belarus,Berkembang,2013,72.8,60.2,CIS
Belarus,Berkembang,2014,73.1,59.2,CIS
Belarus,Berkembang,2015,73.7,54.9,CIS
Belarus,Berkembang,2016,73.8,55.0,CIS
Belarus,Berkembang,2017,73.8,55.7,CIS
Belarus,Berkembang,2018,74,60.6,CIS
Belarus,Berkembang,2019,74,60.9,CIS
Belarus,Berkembang,2020,73.5,56.1,CIS
Belarus,Berkembang,2021,74.3,57.2,CIS
Kazakhstan,Berkembang,2010,67.6,178.6,CIS
Kazakhstan,Berkembang,2011,68.1,202.0,CIS
Kazakhstan,Berkembang,2012,68.6,212.0,CIS
Kazakhstan,Berkembang,2013,69.4,211.9,CIS
Kazakhstan,Berkembang,2014,70.1,214.7,CIS
Kazakhstan,Berkembang,2015,70.6,202.2,CIS
Kazakhstan,Berkembang,2016,71.1,204.0,CIS
Kazakhstan,Berkembang,2017,71.5,214.2,CIS
Kazakhstan,Berkembang,2018,71.7,238.5,CIS
Kazakhstan,Berkembang,2019,71.9,235.0,CIS
Kazakhstan,Berkembang,2020,71.2,221.2,CIS
Kazakhstan,Berkembang,2021,72.3,219.4,CIS
Rusia,Berkembang,2010,68.8,1492.4,CIS
Rusia,Berkembang,2011,70,1558.8,CIS
Rusia,Berkembang,2012,70.5,1572.4,CIS
Rusia,Berkembang,2013,70.9,1538.8,CIS
Rusia,Berkembang,2014,71,1539.8,CIS
Rusia,Berkembang,2015,71.5,1507.0,CIS
Rusia,Berkembang,2016,72,1520.5,CIS
Rusia,Berkembang,2017,72.9,1507.8,CIS
Rusia,Berkembang,2018,73,1564.7,CIS
Rusia,Berkembang,2019,73,1548.8,CIS
Rusia,Berkembang,2020,71.2,1456.2,CIS
Rusia,Berkembang,2021,73.3,1581.3,CIS
Turkmenistan,Berkembang,2010,69.5,54.3,CIS
Turkmenistan,Berkembang,2011,69.6,59.9,CIS
Turkmenistan,Berkembang,2012,69.8,65.2,CIS
Turkmenistan,Berkembang,2013,69.8,58.3,CIS
Turkmenistan,Berkembang,2014,69.9,60.5,CIS
Turkmenistan,Berkembang,2015,70,71.5,CIS
Turkmenistan,Berkembang,2016,70.3,70.9,CIS
Turkmenistan,Berkembang,2017,70.5,70.2,CIS
Turkmenistan,Berkembang,2018,70.6,77.6,CIS
Turkmenistan,Berkembang,2019,70.8,84.1,CIS
Turkmenistan,Berkembang,2020,70.9,79.2,CIS
Turkmenistan,Berkembang,2021,71.1,94.3,CIS
Uzbekistan,Berkembang,2010,66.5,106.1,CIS
Uzbekistan,Berkembang,2011,66.6,113.4,CIS
Uzbekistan,Berkembang,2012,66.7,109.8,CIS
Uzbekistan,Berkembang,2013,67,111.1,CIS
Uzbekistan,Berkembang,2014,67.2,114.4,CIS
Uzbekistan,Berkembang,2015,67.3,108.8,CIS
Uzbekistan,Berkembang,2016,67.6,104.1,CIS
Uzbekistan,Berkembang,2017,67.8,106.9,CIS
Uzbekistan,Berkembang,2018,68.1,109.7,CIS
Uzbekistan,Berkembang,2019,68.4,109.5,CIS
Uzbekistan,Berkembang,2020,68.4,108.3,CIS
Uzbekistan,Berkembang,2021,68.7,112.3,CIS
